iter	Passed	Remaining
703	4162	1750
704	4167	1743
705	4171	1737
706	4175	1730
707	4180	1724
708	4185	1717
709	4189	1711
710	4194	1704
711	4198	1698
712	4202	1691
713	4207	1685
714	4211	1678
715	4216	1672
716	4220	1665
717	4224	1659
718	4229	1653
719	4233	1646
720	4237	1639
721	4241	1633
722	4246	1626
723	4250	1620
724	4254	1613
725	4259	1607
726	4263	1600
727	4267	1594
728	4271	1587
729	4276	1581
730	4280	1575
731	4285	1568
732	4289	1562
733	4294	1556
734	4298	1549
735	4302	1543
736	4306	1536
737	4311	1530
738	4316	1524
739	4321	1518
740	4326	1512
741	4330	1505
742	4334	1499
743	4339	1493
744	4343	1486
745	4348	1480
746	4352	1474
747	4356	1467
748	4360	1461
749	4365	1455
750	4369	1448
751	4374	1442
752	4378	1436
753	4382	1429
754	4387	1423
755	4393	1417
756	4397	1411
757	4402	1405
758	4407	1399
759	4411	1393
760	4415	1386
761	4420	1380
762	4425	1374
763	4430	1368
764	4434	1362
765	4439	1356
766	4443	1349
767	4447	1343
768	4452	1337
769	4456	1331
770	4461	1325
771	4466	1318
772	4471	1312
773	4475	1306
774	4480	1300
775	4485	1294
776	4490	1288
777	4494	1282
778	4498	1276
779	4503	1270
780	4507	1263
781	4512	1257
782	4517	1251
783	4521	1245
784	4526	1239
785	4530	1233
786	4538	1228
787	4546	1223
788	4554	1218
789	4564	1213
790	4573	1208
791	4582	1203
792	4591	1198
793	4602	1193
794	4610	1188
795	4620	1184
796	4629	1179
797	4640	1174
798	4649	1169
799	4658	1164
800	4669	1160
801	4681	1155
802	4690	1150
803	4699	1145
804	4709	1140
805	4718	1135
806	4727	1130
807	4737	1125
808	4747	1120
809	4756	1115
810	4765	1110
811	4774	1105
812	4784	1100
813	4795	1095
814	4806	1091
815	4816	1086
816	4825	1080
817	4835	1075
818	4844	1070
819	4853	1065
820	4863	1060
821	4872	1055
822	4881	1049
823	4890	1044
824	4899	1039
825	4909	1034
826	4918	1028
827	4928	1023
828	4938	1018
829	4947	1013
830	4957	1008
831	4967	1002
832	4976	997
833	4985	992
834	4994	986
835	5004	981
836	5013	976
837	5022	970
838	5032	965
839	5041	960
840	5050	954
841	5060	949
842	5069	944
843	5078	938
844	5087	933
845	5096	927
846	5106	922
847	5116	917
848	5125	911
849	5135	906
850	5145	900
851	5154	895
852	5163	889
853	5172	884
854	5182	878
855	5192	873
856	5201	867
857	5210	862
858	5219	856
859	5228	851
860	5237	845
861	5247	840
862	5255	834
863	5264	828
864	5274	823
865	5283	817
866	5293	811
867	5301	806
868	5311	800
869	5320	795
870	5330	789
871	5339	783
872	5348	778
873	5358	772
874	5367	766
875	5377	761
876	5386	755
877	5395	749
878	5404	744
879	5413	738
880	5423	732
881	5433	726
882	5442	721
